,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
193,105851,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105851,Dasyatis pastinaca,"(Linnaeus, 1758)",accepted,NA,220,Species,105851,Dasyatis pastinaca,"(Linnaeus, 1758)",105751,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Dasyatis pastinaca (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105851 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105851,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
194,105852,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105852,Dasyatis tortonesei,"Capapé, 1975",accepted,NA,220,Species,105852,Dasyatis tortonesei,"Capapé, 1975",105751,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Dasyatis tortonesei Capapé, 1975. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105852 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105852,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
195,105860,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105860,Myliobatis aquila,"(Linnaeus, 1758)",accepted,NA,220,Species,105860,Myliobatis aquila,"(Linnaeus, 1758)",105757,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Myliobatis aquila (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105860 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105860,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
196,105863,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105863,Amblyraja hyperborea,"(Collett, 1879)",accepted,NA,220,Species,105863,Amblyraja hyperborea,"(Collett, 1879)",105760,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Amblyraja hyperborea (Collett, 1879). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105863 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105863,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
197,105864,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105864,Amblyraja jenseni,"(Bigelow & Schroeder, 1950)",accepted,NA,220,Species,105864,Amblyraja jenseni,"(Bigelow & Schroeder, 1950)",105760,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Amblyraja jenseni (Bigelow & Schroeder, 1950). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105864 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105864,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
198,105865,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105865,Amblyraja radiata,"(Donovan, 1808)",accepted,NA,220,Species,105865,Amblyraja radiata,"(Donovan, 1808)",105760,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Amblyraja radiata (Donovan, 1808). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105865 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105865,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
199,105866,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105866,Bathyraja pallida,"(Forster, 1967)",accepted,NA,220,Species,105866,Bathyraja pallida,"(Forster, 1967)",105761,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Bathyraja pallida (Forster, 1967). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105866 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105866,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
200,105867,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105867,Bathyraja richardsoni,"(Garrick, 1961)",accepted,NA,220,Species,105867,Bathyraja richardsoni,"(Garrick, 1961)",105761,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Bathyraja richardsoni (Garrick, 1961). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105867 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105867,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
201,105869,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105869,Dipturus batis,"(Linnaeus, 1758)",accepted,NA,220,Species,105869,Dipturus batis,"(Linnaeus, 1758)",105762,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Dipturus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Dipturus batis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105869 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105869,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
202,105870,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105870,Dipturus linteus,"(Fries, 1838)",accepted,NA,220,Species,105870,Dipturus linteus,"(Fries, 1838)",105762,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Dipturus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Dipturus linteus (Fries, 1838). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105870 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105870,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
